what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1355188470979
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1355188471017
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1355188471019
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1355188471020
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1355188471022
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1355188471023
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1355188471035
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1355188471036
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1355188471058
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1355188471058
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1355188471103
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1355188471122
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1355188471122
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1355188471123
os,sysinfo,,,"win32",1355188471130
arch,sysinfo,,,"x86",1355188471130
ws,sysinfo,,,"win32",1355188471130
locale,sysinfo,,,"en_US",1355188471130
processors,sysinfo,,,"8",1355188471130
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1355188471130
java.runtime.version,sysinfo,,,"1.7.0_09-b05",1355188471130
java.specification.name,sysinfo,,,"Java Platform API Specification",1355188471130
java.specification.vendor,sysinfo,,,"Oracle Corporation",1355188471130
java.specification.version,sysinfo,,,"1.7",1355188471130
java.vendor,sysinfo,,,"Oracle Corporation",1355188471130
java.version,sysinfo,,,"1.7.0_09",1355188471130
java.vm.info,sysinfo,,,"mixed mode, sharing",1355188471130
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1355188471130
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1355188471130
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1355188471130
java.vm.specification.version,sysinfo,,,"1.7",1355188471130
java.vm.vendor,sysinfo,,,"Oracle Corporation",1355188471130
java.vm.version,sysinfo,,,"23.5-b02",1355188471130
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1355188471206
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1355188472263
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1355188472723
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1355188472834
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1355188473047
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1355188473323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355188476115
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1355188479130
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1355188479426
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1355188479904
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1355188480058
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1355188480586
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1355188480623
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1355188480675
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1355188480689
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1355188480738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355188504791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355188520538
